地名,センター（center.csvを使わない場合は空白化）,燃えるごみ,燃えないごみ
小山1区〜8区,,20240401 20240404 20240408 20240411 20240415 20240418 20240422 20240425 20240429 20240502 20240506 20240509 20240513 20240516 20240520 20240523 20240527 20240530 20240603 20240606 20240610 20240613 20240617 20240620 20240624 20240627 20240701 20240704 20240708 20240711 20240715 20240718 20240722 20240725 20240729 20240801 20240805 20240808 20240812 20240815 20240819 20240822 20240826 20240829 20240902 20240905 20240909 20240912 20240916 20240919 20240923 20240926 20240930 20241003 20241007 20241010 20241014 20241017 20241021 20241024 20241028 20241031 20241104 20241107 20241111 20241114 20241118 20241121 20241125 20241128 20241202 20241205 20241209 20241212 20241216 20241219 20241223 20241226 20241230 20250106 20250109 20250113 20250116 20250120 20250123 20250127 20250130 20250203 20250206 20250210 20250213 20250217 20250220 20250224 20250227 20250303 20250306 20250310 20250313 20250317 20250324 20250327 20250331,
小山9区〜20区,,20240401 20240404 20240408 20240411 20240415 20240418 20240422 20240425 20240429 20240502 20240506 20240509 20240513 20240516 20240520 20240523 20240527 20240530 20240603 20240606 20240610 20240613 20240617 20240620 20240624 20240627 20240701 20240704 20240708 20240711 20240715 20240718 20240722 20240725 20240729 20240801 20240805 20240808 20240812 20240815 20240819 20240822 20240826 20240829 20240902 20240905 20240909 20240912 20240916 20240919 20240923 20240926 20240930 20241003 20241007 20241010 20241014 20241017 20241021 20241024 20241028 20241031 20241104 20241107 20241111 20241114 20241118 20241121 20241125 20241128 20241202 20241205 20241209 20241212 20241216 20241219 20241223 20241226 20241230 20250106 20250109 20250113 20250116 20250120 20250123 20250127 20250130 20250203 20250206 20250210 20250213 20250217 20250220 20250224 20250227 20250303 20250306 20250310 20250313 20250317 20250324 20250327 20250331,
南都田1区・3区〜10区,,20240401 20240404 20240408 20240411 20240415 20240418 20240422 20240425 20240429 20240502 20240506 20240509 20240513 20240516 20240520 20240523 20240527 20240530 20240603 20240606 20240610 20240613 20240617 20240620 20240624 20240627 20240701 20240704 20240708 20240711 20240715 20240718 20240722 20240725 20240729 20240801 20240805 20240808 20240812 20240815 20240819 20240822 20240826 20240829 20240902 20240905 20240909 20240912 20240916 20240919 20240923 20240926 20240930 20241003 20241007 20241010 20241014 20241017 20241021 20241024 20241028 20241031 20241104 20241107 20241111 20241114 20241118 20241121 20241125 20241128 20241202 20241205 20241209 20241212 20241216 20241219 20241223 20241226 20241230 20250106 20250109 20250113 20250116 20250120 20250123 20250127 20250130 20250203 20250206 20250210 20250213 20250217 20250220 20250224 20250227 20250303 20250306 20250310 20250313 20250317 20250324 20250327 20250331,
南都田2区,,20240401 20240404 20240408 20240411 20240415 20240418 20240422 20240425 20240429 20240502 20240506 20240509 20240513 20240516 20240520 20240523 20240527 20240530 20240603 20240606 20240610 20240613 20240617 20240620 20240624 20240627 20240701 20240704 20240708 20240711 20240715 20240718 20240722 20240725 20240729 20240801 20240805 20240808 20240812 20240815 20240819 20240822 20240826 20240829 20240902 20240905 20240909 20240912 20240916 20240919 20240923 20240926 20240930 20241003 20241007 20241010 20241014 20241017 20241021 20241024 20241028 20241031 20241104 20241107 20241111 20241114 20241118 20241121 20241125 20241128 20241202 20241205 20241209 20241212 20241216 20241219 20241223 20241226 20241230 20250106 20250109 20250113 20250116 20250120 20250123 20250127 20250130 20250203 20250206 20250210 20250213 20250217 20250220 20250224 20250227 20250303 20250306 20250310 20250313 20250317 20250324 20250327 20250331,
若柳地区,,20240401 20240404 20240408 20240411 20240415 20240418 20240422 20240425 20240429 20240502 20240506 20240509 20240513 20240516 20240520 20240523 20240527 20240530 20240603 20240606 20240610 20240613 20240617 20240620 20240624 20240627 20240701 20240704 20240708 20240711 20240715 20240718 20240722 20240725 20240729 20240801 20240805 20240808 20240812 20240815 20240819 20240822 20240826 20240829 20240902 20240905 20240909 20240912 20240916 20240919 20240923 20240926 20240930 20241003 20241007 20241010 20241014 20241017 20241021 20241024 20241028 20241031 20241104 20241107 20241111 20241114 20241118 20241121 20241125 20241128 20241202 20241205 20241209 20241212 20241216 20241219 20241223 20241226 20241230 20250106 20250109 20250113 20250116 20250120 20250123 20250127 20250130 20250203 20250206 20250210 20250213 20250217 20250220 20250224 20250227 20250303 20250306 20250310 20250313 20250317 20250324 20250327 20250331,
