地名,センター（center.csvを使わない場合は空白化）,燃えるごみ,燃えないごみ
北股・衣川,,火 金 *1,20230419 20230524 20230621 20230719 20230823 20230920 20231018 20231115 20231220 20240124 20240221 20240320
南股・衣里・衣川（岩の上/日向/南股）,,月 木 *2,20230419 20230524 20230621 20230719 20230823 20230920 20231018 20231115 20231220 20240124 20240221 20240319
